,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,3820,3072,52.96,15.766090393066406,15766.090393066406,0.06342726542020709,4599.117160913952,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz,382,382,382,382,382,382,382,382,382,382,"[25.47120451927185, 36.20418906211853, 0.0, 43.37696433067322, 0.0, 0.0, 50.70680379867554, 52.12041735649109, 0.0, 56.41361474990845]",26.429319381713867,0.6
1,2,IID,3640,3072,56.05,15.815983295440674,15815.983295440674,0.06322717856488085,4621.5847581827065,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz,364,364,364,364,364,364,364,364,364,364,"[27.28022038936615, 38.90109956264496, 43.87362599372864, 45.63186764717102, 0.0, 53.07692289352417, 0.0, 0.0, 58.02198052406311, 59.06593203544617]",32.58516490459442,0.7
2,3,IID,3190,3072,54.63,13.748679637908936,13748.679637908936,0.07273425713133366,5471.592828224407,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz,319,319,319,319,319,319,319,319,319,319,"[27.115988731384277, 0.0, 42.884013056755066, 0.0, 48.55799376964569, 51.31661295890808, 52.570533752441406, 0.0, 57.02194571495056, 0.0]",27.94670879840851,0.6
3,4,IID,2700,3072,53.75,12.388906240463257,12388.906240463257,0.08071737573845801,5513.044289044289,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz,270,270,270,270,270,270,270,270,270,270,"[25.592592358589172, 36.77777647972107, 42.25925803184509, 44.148147106170654, 0.0, 0.0, 0.0, 52.629631757736206, 0.0, 0.0]",20.14074057340622,0.5
4,5,IID,2780,3072,53.18,12.773107051849365,12773.107051849365,0.07828948711857966,5375.218181818182,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz,278,278,278,278,278,278,278,278,278,278,"[0.0, 38.4172648191452, 0.0, 44.568344950675964, 48.56114983558655, 0.0, 0.0, 0.0, 0.0, 0.0]",13.154675960540771,0.3
5,6,IID,910,3072,42.08,7.670325517654419,7670.325517654419,0.13037256341968123,5574.769593400118,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz,91,91,91,91,91,91,91,91,91,91,"[28.021979331970215, 0.0, 45.16483545303345, 0.0, 49.89010989665985, 53.516483306884766, 54.28571701049805, 56.483519077301025, 58.9011013507843, 0.0]",34.626374542713165,0.7
6,7,IID,1300,3072,44.54,8.781578540802002,8781.578540802002,0.11387474306056508,5163.965065502183,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz,130,130,130,130,130,130,130,130,130,130,"[27.230769395828247, 38.61538469791412, 0.0, 44.53846216201782, 49.38461482524872, 50.69230794906616, 55.07692098617554, 55.07692098617554, 56.69230818748474, 58.38461518287659]",43.56923043727875,0.9
7,8,IID,1860,3072,47.33,10.660322427749634,10660.322427749634,0.09380579309655059,5446.392630972942,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz,186,186,186,186,186,186,186,186,186,186,"[0.0, 37.5268816947937, 42.6344096660614, 0.0, 48.81720542907715, 50.21505355834961, 52.68816947937012, 53.76344323158264, 0.0, 0.0]",28.564516305923462,0.6
8,9,IID,2810,3072,53.14,13.435892820358276,13435.892820358276,0.07442750648358733,5481.103128621089,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz,281,281,281,281,281,281,281,281,281,281,"[0.0, 37.864768505096436, 42.81138777732849, 0.0, 0.0, 49.11032021045685, 51.316726207733154, 52.562278509140015, 55.516016483306885, 57.72241950035095]",34.69039171934128,0.7
9,10,IID,2880,3072,51.87,11.452214479446411,11452.214479446411,0.08731935660083263,5920.140175219024,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz,288,288,288,288,288,288,288,288,288,288,"[26.38888955116272, 38.47222328186035, 0.0, 43.33333373069763, 47.361111640930176, 50.27777552604675, 52.25694179534912, 53.854167461395264, 0.0, 0.0]",31.1944442987442,0.7
10,11,IID,1040,3072,42.44,8.06478214263916,8064.78214263916,0.12399590990969471,5744.009714632665,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz,104,104,104,104,104,104,104,104,104,104,"[0.0, 0.0, 42.98076927661896, 44.80769336223602, 47.49999940395355, 49.61538314819336, 0.0, 0.0, 0.0, 55.096155405044556]",24.000000059604645,0.5
11,12,IID,2220,3072,50.23,11.200216054916382,11200.216054916382,0.08928399194237381,5192.307354555433,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz,222,222,222,222,222,222,222,222,222,222,"[0.0, 0.0, 44.05405521392822, 0.0, 0.0, 0.0, 52.83783674240112, 0.0, 56.71170949935913, 58.648645877838135]",21.22522473335266,0.4
12,13,NonIID,2856,3072,49.96,12.76691460609436,12766.91460609436,0.07832746053793171,5976.237523689198,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz,757,327,312,177,153,162,314,276,151,227,"[0.0, 40.86134433746338, 47.44397699832916, 0.0, 50.28011202812195, 52.69607901573181, 0.0, 0.0, 59.20868515968323, 59.90896224975586]",31.03991597890854,0.6
13,14,NonIID,3784,3072,40.06,15.721040487289429,15721.040487289429,0.06360902134998679,5854.19801980198,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz,335,994,132,13,1380,61,77,47,36,709,"[25.343552231788635, 0.0, 46.088793873786926, 56.15750551223755, 53.77907156944275, 0.0, 52.14059352874756, 59.540170431137085, 55.549681186676025, 59.43446159362793]",40.803382992744446,0.8
14,15,NonIID,811,3072,38.09,8.022491931915283,8022.491931915283,0.12464954885423747,5868.724565756824,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz,104,93,24,34,109,87,146,15,116,83,"[25.030827522277832, 0.0, 41.55363738536835, 0.0, 48.58199656009674, 47.8421688079834, 53.88409495353699, 0.0, 0.0, 0.0]",21.68927252292633,0.5
15,16,NonIID,982,3072,28.47,8.348880290985107,8348.880290985107,0.11977654070328121,6041.113665389527,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz,11,0,189,59,350,65,6,215,4,83,"[17.413441836833954, 34.31771993637085, 0.0, 0.0, 42.26069152355194, 41.44602715969086, 0.0, 52.54582762718201, 0.0, 0.0]",18.79837080836296,0.5
16,17,NonIID,3185,3072,49.91,14.374042510986328,14374.042510986328,0.06956985129518595,4674.102766798419,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz,178,477,546,344,398,561,263,52,197,169,"[28.634223341941833, 33.186814188957214, 0.0, 0.0, 0.0, 0.0, 49.23076927661896, 0.0, 0.0, 0.0]",11.1051806807518,0.3
17,18,NonIID,1347,3072,39.61,9.30579686164856,9305.79686164856,0.10745989998140212,5158.333696837513,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz,56,402,35,193,160,123,108,51,211,8,"[20.341499149799347, 0.0, 42.464736104011536, 46.39940559864044, 0.0, 51.818859577178955, 0.0, 0.0, 60.95026135444641, 0.0]",22.19747617840767,0.5
18,19,NonIID,3487,3072,51.85,15.222386837005615,15222.386837005615,0.06569272024864067,5594.549970431697,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz,450,162,550,513,172,141,630,89,379,401,"[24.49096590280533, 0.0, 41.41095578670502, 41.75508916378021, 0.0, 0.0, 52.48064398765564, 51.73501372337341, 56.35216236114502, 56.86836838722229]",32.50931993126869,0.7
19,20,NonIID,3345,3072,48.25,14.224658012390137,14224.658012390137,0.07030045988655528,5757.993913572733,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz,108,1090,292,342,13,314,251,618,261,56,"[27.204781770706177, 35.216742753982544, 46.93572521209717, 0.0, 48.908817768096924, 56.29297494888306, 55.42600750923157, 0.0, 62.24215030670166, 0.0]",33.22272002696991,0.7
20,21,NonIID,2458,3072,41.02,11.780839443206787,11780.839443206787,0.0848835946556111,6041.113665389527,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz,79,53,1007,4,221,38,133,747,123,53,"[0.0, 0.0, 42.06672012805939, 0.0, 45.07730007171631, 49.755898118019104, 50.366151332855225, 55.288851261138916, 0.0, 55.08543252944946]",29.76403534412384,0.6
21,22,NonIID,3263,3072,49.18,14.627920389175415,14627.920389175415,0.06836241744520259,5614.47121661721,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz,721,44,79,628,338,227,201,421,272,332,"[0.0, 40.60680270195007, 41.618141531944275, 0.0, 46.920013427734375, 49.49432909488678, 50.842779874801636, 0.0, 54.489731788635254, 57.00275897979736]",34.097455739974976,0.7
22,23,NonIID,1503,3072,30.47,9.323541402816772,9323.541402816772,0.10725538256288389,4821.8063200815495,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz,118,9,39,7,2,935,290,55,39,9,"[0.0, 42.248836159706116, 39.4544243812561, 0.0, 0.0, 0.0, 0.0, 0.0, 56.35395646095276, 0.0]",13.805721700191498,0.3
23,24,NonIID,3320,3072,47.67,13.956235885620117,13956.235885620117,0.07165255790999889,4924.718375845913,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz,82,525,704,253,390,366,49,551,269,131,"[27.560240030288696, 0.0, 40.421685576438904, 40.99397659301758, 0.0, 50.572288036346436, 0.0, 54.57831621170044, 0.0, 55.99397420883179]",27.012048065662384,0.6
24,25,NonIID,2252,3072,45.19,11.180750846862793,11180.750846862793,0.08943943154592252,5716.24410876133,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz,40,152,21,325,121,432,158,327,315,361,"[25.754883885383606, 38.85435163974762, 41.2966251373291, 0.0, 0.0, 52.26465463638306, 54.12966012954712, 0.0, 0.0, 58.48134756088257]",27.078152298927307,0.6
25,26,NonIID,1973,3072,46.95,11.153268814086914,11153.268814086914,0.0896598133398318,4987.023721665788,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz,173,114,171,119,106,209,277,407,289,108,"[0.0, 42.47339069843292, 0.0, 43.081602454185486, 0.0, 53.37049961090088, 53.877341747283936, 0.0, 0.0, 58.38823914527893]",25.119107365608215,0.5
26,27,NonIID,2957,3072,38.74,13.012618064880371,13012.618064880371,0.07684848621653549,5886.984443061606,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz,1306,84,218,207,26,252,11,545,0,308,"[48.22455048561096, 48.52891564369202, 52.51944661140442, 53.36489677429199, 0.0, 57.55833387374878, 57.727426290512085, 0.0, 0.0, 61.81941032409668]",37.97429800033569,0.7
27,28,NonIID,2271,3072,46.78,11.303622007369995,11303.622007369995,0.08846721867981759,6006.593015873016,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz,212,59,373,275,155,242,263,129,140,423,"[0.0, 0.0, 0.0, 0.0, 44.16556656360626, 47.335976362228394, 0.0, 0.0, 0.0, 54.77762818336487]",14.627917110919952,0.3
28,29,NonIID,1831,3072,41.02,10.69920539855957,10699.20539855957,0.09346488479739155,5244.115299334811,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz,90,37,357,134,349,81,313,227,68,175,"[0.0, 35.60895621776581, 39.868924021720886, 40.30584394931793, 44.893500208854675, 0.0, 50.13653635978699, 0.0, 51.338064670562744, 0.0]",26.215182542800903,0.6
29,30,NonIID,3055,3072,47.72,13.153704643249512,13153.704643249512,0.07602420969009674,5883.3233830845775,/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz,332,192,202,246,422,358,174,35,723,371,"[0.0, 39.24713730812073, 0.0, 0.0, 48.05237352848053, 48.05237352848053, 0.0, 55.18821477890015, 55.057281255722046, 57.4140727519989]",30.301145315170288,0.6
